demand_id,order_id,sector,service_line,account,skill,role_level,city,positions_required,week_number,positions_fulfilled_cum,positions_remaining
DEM-000001,ORD-00003,Tech - New Age,TS - EA,Umbra Health 01,Java,L2,Gurugram,2,1,0,2
DEM-000001,ORD-00003,Tech - New Age,TS - EA,Umbra Health 01,Java,L2,Gurugram,2,2,0,2
DEM-000001,ORD-00003,Tech - New Age,TS - EA,Umbra Health 01,Java,L2,Gurugram,2,3,0,2
DEM-000001,ORD-00003,Tech - New Age,TS - EA,Umbra Health 01,Java,L2,Gurugram,2,4,0,2
DEM-000001,ORD-00003,Tech - New Age,TS - EA,Umbra Health 01,Java,L2,Gurugram,2,5,0,2
DEM-000001,ORD-00003,Tech - New Age,TS - EA,Umbra Health 01,Java,L2,Gurugram,2,6,0,2
DEM-000001,ORD-00003,Tech - New Age,TS - EA,Umbra Health 01,Java,L2,Gurugram,2,7,0,2
DEM-000001,ORD-00003,Tech - New Age,TS - EA,Umbra Health 01,Java,L2,Gurugram,2,8,0,2
DEM-000001,ORD-00003,Tech - New Age,TS - EA,Umbra Health 01,Java,L2,Gurugram,2,9,0,2
DEM-000001,ORD-00003,Tech - New Age,TS - EA,Umbra Health 01,Java,L2,Gurugram,2,10,1,1
DEM-000001,ORD-00003,Tech - New Age,TS - EA,Umbra Health 01,Java,L2,Gurugram,2,11,1,1
DEM-000001,ORD-00003,Tech - New Age,TS - EA,Umbra Health 01,Java,L2,Gurugram,2,12,2,0
DEM-000001,ORD-00003,Tech - New Age,TS - EA,Umbra Health 01,Java,L2,Gurugram,2,13,2,0
DEM-000002,ORD-00011,Health,TS - CRS,Apex Mobility 02,Python,L4,Mumbai,1,1,0,1
DEM-000002,ORD-00011,Health,TS - CRS,Apex Mobility 02,Python,L4,Mumbai,1,2,0,1
DEM-000002,ORD-00011,Health,TS - CRS,Apex Mobility 02,Python,L4,Mumbai,1,3,0,1
DEM-000002,ORD-00011,Health,TS - CRS,Apex Mobility 02,Python,L4,Mumbai,1,4,0,1
DEM-000002,ORD-00011,Health,TS - CRS,Apex Mobility 02,Python,L4,Mumbai,1,5,0,1
DEM-000002,ORD-00011,Health,TS - CRS,Apex Mobility 02,Python,L4,Mumbai,1,6,0,1
DEM-000002,ORD-00011,Health,TS - CRS,Apex Mobility 02,Python,L4,Mumbai,1,7,0,1
DEM-000002,ORD-00011,Health,TS - CRS,Apex Mobility 02,Python,L4,Mumbai,1,8,0,1
DEM-000002,ORD-00011,Health,TS - CRS,Apex Mobility 02,Python,L4,Mumbai,1,9,0,1
DEM-000002,ORD-00011,Health,TS - CRS,Apex Mobility 02,Python,L4,Mumbai,1,10,0,1
DEM-000002,ORD-00011,Health,TS - CRS,Apex Mobility 02,Python,L4,Mumbai,1,11,1,0
DEM-000002,ORD-00011,Health,TS - CRS,Apex Mobility 02,Python,L4,Mumbai,1,12,1,0
DEM-000002,ORD-00011,Health,TS - CRS,Apex Mobility 02,Python,L4,Mumbai,1,13,1,0
DEM-000003,ORD-00011,Health,TS - CRS,Apex Mobility 02,Data Engineering,L1,Gurugram,1,1,0,1
DEM-000003,ORD-00011,Health,TS - CRS,Apex Mobility 02,Data Engineering,L1,Gurugram,1,2,0,1
DEM-000003,ORD-00011,Health,TS - CRS,Apex Mobility 02,Data Engineering,L1,Gurugram,1,3,0,1
DEM-000003,ORD-00011,Health,TS - CRS,Apex Mobility 02,Data Engineering,L1,Gurugram,1,4,0,1
DEM-000003,ORD-00011,Health,TS - CRS,Apex Mobility 02,Data Engineering,L1,Gurugram,1,5,0,1
DEM-000003,ORD-00011,Health,TS - CRS,Apex Mobility 02,Data Engineering,L1,Gurugram,1,6,0,1
DEM-000003,ORD-00011,Health,TS - CRS,Apex Mobility 02,Data Engineering,L1,Gurugram,1,7,1,0
DEM-000003,ORD-00011,Health,TS - CRS,Apex Mobility 02,Data Engineering,L1,Gurugram,1,8,1,0
DEM-000003,ORD-00011,Health,TS - CRS,Apex Mobility 02,Data Engineering,L1,Gurugram,1,9,1,0
DEM-000003,ORD-00011,Health,TS - CRS,Apex Mobility 02,Data Engineering,L1,Gurugram,1,10,1,0
DEM-000003,ORD-00011,Health,TS - CRS,Apex Mobility 02,Data Engineering,L1,Gurugram,1,11,1,0
DEM-000003,ORD-00011,Health,TS - CRS,Apex Mobility 02,Data Engineering,L1,Gurugram,1,12,1,0
DEM-000003,ORD-00011,Health,TS - CRS,Apex Mobility 02,Data Engineering,L1,Gurugram,1,13,1,0
DEM-000004,ORD-00012,Health,Engineering,Apex Mobility 02,SAP,L2,Mumbai,-1,1,-1,0
DEM-000004,ORD-00012,Health,Engineering,Apex Mobility 02,SAP,L2,Mumbai,-1,2,-1,0
DEM-000004,ORD-00012,Health,Engineering,Apex Mobility 02,SAP,L2,Mumbai,-1,3,-1,0
DEM-000004,ORD-00012,Health,Engineering,Apex Mobility 02,SAP,L2,Mumbai,-1,4,-1,0
DEM-000004,ORD-00012,Health,Engineering,Apex Mobility 02,SAP,L2,Mumbai,-1,5,-1,0
DEM-000004,ORD-00012,Health,Engineering,Apex Mobility 02,SAP,L2,Mumbai,-1,6,-1,0
DEM-000004,ORD-00012,Health,Engineering,Apex Mobility 02,SAP,L2,Mumbai,-1,7,-1,0
DEM-000004,ORD-00012,Health,Engineering,Apex Mobility 02,SAP,L2,Mumbai,-1,8,-1,0
