quarter_id,sector,service_line,account,people_start_of_quarter,people_end_of_quarter,quarterly_revenue_usd
2024Q1,Tech - New Age,TS - EA,Umbra Health 01,153,154,4893747.39396747
2024Q1,Tech - New Age,TS - DAAI,Umbra Health 01,310,299,8973873.043269504
2024Q1,Tech - New Age,WC - Consulting,Umbra Health 01,219,217,4300594.549894024
2024Q1,Health,TS - CIS,Apex Mobility 02,203,226,4649734.680516926
2024Q1,Health,TS - CRS,Apex Mobility 02,256,253,5942323.694689838
2024Q1,Health,Engineering,Apex Mobility 02,162,166,3828589.5446395488
2024Q1,Health,WC - Consulting,Apex Mobility 02,155,153,3754725.880450899
2024Q1,Tech - Software and Gaming,Engineering,Horizon Foods 03,172,173,3025382.5704378295
2024Q1,Tech - Software and Gaming,TS - EA,Horizon Foods 03,241,241,4380458.251144815
2024Q1,Tech - Software and Gaming,TS - ICD,Horizon Foods 03,96,99,2254338.009840221
2024Q1,Tech - New Age,TS - CIS,Ever Health 04,670,717,15731961.519224375
2024Q1,Tech - New Age,WC - Consulting,Ever Health 04,485,533,9539971.682701651
2024Q1,Tech - New Age,TS - EA,Ever Health 04,934,951,25595128.0178558
2024Q1,Tech - New Age,TS - TTMS,Ever Health 04,227,235,4797627.585946736
2024Q1,Communications,TS - TTMS,Vertex Consulting 05,133,124,2275836.9051495884
2024Q1,Communications,TS - ICD,Vertex Consulting 05,100,99,1649483.4742073533
2024Q1,Tech - Software and Gaming,TS - ICD,Crown Software 06,394,416,9855417.828385433
2024Q1,Tech - Software and Gaming,TS - DAAI,Crown Software 06,652,686,20832946.18251158
2024Q1,Tech - Software and Gaming,TS - CIS,Crown Software 06,526,533,18268903.226772316
2024Q1,Tech - Software and Gaming,TS - EA,Crown Software 06,567,597,14848871.240793118
2024Q1,Tech - New Age,TS - EA,Blue Systems 07,177,182,4775232.405142091
2024Q1,Tech - New Age,Engineering,Blue Systems 07,191,205,4793492.937891984
2024Q1,Tech - New Age,TS - CRS,Blue Systems 07,123,125,3112191.273938679
2024Q1,Tech - New Age,TS - CIS,Blue Systems 07,221,216,5977981.351660175
2024Q1,Tech - New Age,TS - DAAI,Crown Holdings 08,248,253,8598784.51237114
2024Q1,Tech - New Age,WC - Consulting,Crown Holdings 08,235,194,5589912.940946382
2024Q1,Communications,Engineering,Horizon Aerospace 09,220,225,5225863.669422572
2024Q1,Communications,WC - Consulting,Horizon Aerospace 09,226,177,5453469.7280626735
2024Q1,Health,TS - EA,Titan Systems 10,395,354,10906678.119140731
2024Q1,Health,Engineering,Titan Systems 10,165,169,5569105.121087106
2024Q1,Health,TS - CRS,Titan Systems 10,149,153,3292407.911412601
2024Q1,Health,TS - CIS,River Holdings 11,154,143,3064175.3557815617
2024Q1,Health,WC - Consulting,River Holdings 11,127,122,3873638.1404466294
2024Q1,Health,TS - EA,River Holdings 11,102,110,2967294.076804603
